jobid	jobname	prog	num_segs	num_frames	maxvmem	cpu	exit_status
113	emt0.4.13.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	388	0	109.078406	0
114	emt0.4.14.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	353	0	109.885267	0
115	emt0.4.bundle.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	0	0	110.34116	0
116	emt0.5.0.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	2488	0	111.336916	0
117	emt0.5.11.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	2431	0	112.31890899999999	0
118	emt0.5.15.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1979	0	113.280491	0
119	emt0.5.16.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1911	0	114.16581199999999	0
120	emt0.5.17.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1808	0	115.071112	0
121	emt0.5.18.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1708	0	115.972385	0
122	emt0.5.19.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1592	0	116.91252	0
123	emt0.5.20.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1463	0	117.80761799999999	0
124	emt0.5.21.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1412	0	118.65938200000001	0
125	emt0.5.1.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1355	0	119.50274999999999	0
126	emt0.5.2.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1349	0	120.339294	0
127	emt0.5.3.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1339	0	121.241125	0
128	emt0.5.4.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	962	0	122.073603	0
129	emt0.5.7.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	902	0	122.885005	0
130	emt0.5.5.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	883	0	123.619271	0
131	emt0.5.6.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	825	0	124.393249	0
132	emt0.5.8.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	812	0	125.156939	0
133	emt0.5.9.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	781	0	125.952479	0
134	emt0.5.12.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	630	0	126.73344900000001	0
135	emt0.5.10.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	591	0	127.479545	0
136	emt0.5.13.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	388	0	128.273224	0
137	emt0.5.14.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	353	0	129.095491	0
138	emt0.5.bundle.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	0	0	129.683758	0
139	emt0.6.0.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	2488	0	130.619647	0
140	emt0.6.11.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	2431	0	131.614249	0
141	emt0.6.15.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1979	0	132.525688	0
142	emt0.6.16.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1911	0	133.472555	0
143	emt0.6.17.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1808	0	134.315756	0
144	emt0.6.18.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1708	0	135.172079	0
145	emt0.6.19.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1592	0	136.008116	0
146	emt0.6.20.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1463	0	136.893302	0
147	emt0.6.21.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1412	0	137.745148	0
148	emt0.6.1.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1355	0	138.631319	0
149	emt0.6.2.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1349	0	139.496941	0
150	emt0.6.3.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1339	0	140.319795	0
151	emt0.6.4.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	962	0	141.152538	0
152	emt0.6.7.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	902	0	141.930009	0
153	emt0.6.5.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	883	0	142.72231299999999	0
154	emt0.6.6.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	825	0	143.50738	0
155	emt0.6.8.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	812	0	144.29859	0
156	emt0.6.9.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	781	0	145.083404	0
157	emt0.6.12.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	630	0	145.87116	0
158	emt0.6.10.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	591	0	146.65717899999999	0
159	emt0.6.13.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	388	0	147.452463	0
160	emt0.6.14.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	353	0	148.265502	0
161	emt0.6.bundle.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	0	0	148.840432	0
162	emt0.7.0.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	2488	0	149.78305	0
163	emt0.7.11.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	2431	0	150.666834	0
164	emt0.7.15.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1979	0	151.596939	0
165	emt0.7.16.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1911	0	152.473757	0
166	emt0.7.17.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1808	0	153.363581	0
167	emt0.7.18.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1708	0	154.267181	0
168	emt0.7.19.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1592	0	155.075205	0
