jobid	jobname	prog	num_segs	num_frames	maxvmem	cpu	exit_status
84	emt0.3.5.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	8829	0	296.96241000000003	0
85	emt0.3.6.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	8252	0	299.293395	0
86	emt0.3.8.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	8116	0	301.497609	0
87	emt0.3.9.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	7801	0	303.771659	0
88	emt0.3.12.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	6291	0	305.705516	0
89	emt0.3.10.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	5901	0	307.422777	0
90	emt0.3.13.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	3870	0	308.777266	0
91	emt0.3.14.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	3518	0	310.133191	0
70	emt0.3.0.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	24870	0	314.750917	0
71	emt0.3.11.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	24308	0	319.523237	0
92	emt0.3.bundle.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	0	0	320.112388	0
95	emt0.4.15.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	19784	0	324.22207000000003	0
96	emt0.4.16.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	19104	0	328.184028	0
97	emt0.4.17.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	18071	0	332.208727	0
98	emt0.4.18.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	17072	0	335.968925	0
99	emt0.4.19.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	15909	0	339.455874	0
100	emt0.4.20.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	14616	0	342.889177	0
101	emt0.4.21.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	14107	0	345.836142	0
102	emt0.4.1.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	13545	0	348.978858	0
103	emt0.4.2.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	13478	0	352.158719	0
104	emt0.4.3.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	13379	0	355.256884	0
105	emt0.4.4.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	9609	0	357.77308	0
106	emt0.4.7.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	9011	0	359.921923	0
107	emt0.4.5.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	8829	0	362.230503	0
108	emt0.4.6.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	8252	0	364.36927299999996	0
109	emt0.4.8.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	8116	0	366.416201	0
110	emt0.4.9.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	7801	0	368.602006	0
111	emt0.4.12.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	6291	0	370.38790500000005	0
112	emt0.4.10.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	5901	0	372.08734499999997	0
