jobid	jobname	prog	num_segs	num_frames	maxvmem	cpu	exit_status
66	emt0.2.10.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	591	0	75.826918	0
67	emt0.2.13.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	388	0	76.694128	0
68	emt0.2.14.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	353	0	77.59239500000001	0
47	emt0.2.0.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	2488	0	78.868306	0
69	emt0.2.bundle.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	0	0	79.380097	0
70	emt0.3.0.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	2488	0	80.757743	0
71	emt0.3.11.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	2431	0	81.96891099999999	0
72	emt0.3.15.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1979	0	83.129043	0
73	emt0.3.16.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1911	0	84.218903	0
74	emt0.3.17.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1808	0	85.416424	0
75	emt0.3.18.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1708	0	86.561083	0
76	emt0.3.19.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1592	0	87.727333	0
77	emt0.3.20.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1463	0	88.825924	0
78	emt0.3.21.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1412	0	89.863993	0
79	emt0.3.1.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1355	0	90.90052	0
80	emt0.3.2.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1349	0	91.971668	0
81	emt0.3.3.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1339	0	93.054088	0
82	emt0.3.4.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	962	0	94.04371599999999	0
83	emt0.3.7.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	902	0	94.997579	0
84	emt0.3.5.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	883	0	95.955768	0
85	emt0.3.6.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	825	0	96.914398	0
86	emt0.3.8.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	812	0	97.851348	0
87	emt0.3.9.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	781	0	98.684183	0
88	emt0.3.12.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	630	0	99.62534199999999	0
89	emt0.3.10.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	591	0	100.536416	0
90	emt0.3.13.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	388	0	101.37725999999999	0
91	emt0.3.14.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	353	0	102.253955	0
92	emt0.3.bundle.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	0	0	102.805571	0
93	emt0.4.0.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	2488	0	103.95861199999999	0
94	emt0.4.11.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	2431	0	105.288327	0
95	emt0.4.15.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1979	0	106.313992	0
96	emt0.4.16.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1911	0	107.39483399999999	0
97	emt0.4.17.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1808	0	108.564781	0
98	emt0.4.18.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1708	0	109.549506	0
99	emt0.4.19.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1592	0	110.647839	0
100	emt0.4.20.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1463	0	111.696854	0
101	emt0.4.21.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1412	0	112.763229	0
102	emt0.4.1.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1355	0	113.839884	0
103	emt0.4.2.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1349	0	114.86807200000001	0
104	emt0.4.3.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1339	0	115.915834	0
105	emt0.4.4.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	962	0	116.74836499999999	0
106	emt0.4.7.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	902	0	117.694367	0
107	emt0.4.5.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	883	0	118.70472500000001	0
108	emt0.4.6.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	825	0	119.728491	0
109	emt0.4.8.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	812	0	120.67214600000001	0
110	emt0.4.9.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	781	0	121.635612	0
111	emt0.4.12.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	630	0	122.526868	0
112	emt0.4.10.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	591	0	123.38891100000001	0
113	emt0.4.13.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	388	0	124.29772	0
114	emt0.4.14.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	353	0	125.174656	0
115	emt0.4.bundle.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	0	0	125.739444	0
116	emt0.5.0.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	2488	0	126.883169	0
117	emt0.5.11.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	2431	0	128.213991	0
118	emt0.5.15.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1979	0	129.440123	0
119	emt0.5.16.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1911	0	130.561261	0
120	emt0.5.17.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1808	0	131.698651	0
121	emt0.5.18.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1708	0	132.866479	0
122	emt0.5.19.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1592	0	133.996385	0
123	emt0.5.20.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1463	0	135.049319	0
124	emt0.5.21.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1412	0	136.092819	0
125	emt0.5.1.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1355	0	137.210068	0
126	emt0.5.2.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1349	0	138.264282	0
127	emt0.5.3.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1339	0	139.293753	0
128	emt0.5.4.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	962	0	140.254156	0
129	emt0.5.7.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	902	0	141.302236	0
130	emt0.5.5.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	883	0	142.257448	0
131	emt0.5.6.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	825	0	143.20030300000002	0
132	emt0.5.8.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	812	0	144.12278	0
133	emt0.5.9.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	781	0	145.098482	0
134	emt0.5.12.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	630	0	146.008657	0
135	emt0.5.10.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	591	0	146.914734	0
136	emt0.5.13.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	388	0	147.741252	0
137	emt0.5.14.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	353	0	148.457249	0
138	emt0.5.bundle.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	0	0	148.99056199999998	0
139	emt0.6.0.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	2488	0	150.27073900000002	0
140	emt0.6.11.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	2431	0	151.53997199999998	0
141	emt0.6.15.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1979	0	152.728656	0
142	emt0.6.16.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1911	0	153.95729500000002	0
143	emt0.6.17.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1808	0	154.949812	0
144	emt0.6.18.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1708	0	156.070938	0
145	emt0.6.19.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1592	0	157.2764	0
146	emt0.6.20.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1463	0	158.333942	0
147	emt0.6.21.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1412	0	159.340999	0
148	emt0.6.1.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1355	0	160.39759800000002	0
149	emt0.6.2.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1349	0	161.46567199999998	0
150	emt0.6.3.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1339	0	162.52049599999998	0
151	emt0.6.4.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	962	0	163.505456	0
152	emt0.6.7.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	902	0	164.49573199999998	0
153	emt0.6.5.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	883	0	165.452269	0
154	emt0.6.6.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	825	0	166.43189900000002	0
155	emt0.6.8.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	812	0	167.40002	0
156	emt0.6.9.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	781	0	168.406019	0
157	emt0.6.12.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	630	0	169.353863	0
158	emt0.6.10.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	591	0	170.323065	0
159	emt0.6.13.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	388	0	171.025571	0
160	emt0.6.14.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	353	0	171.87665700000002	0
161	emt0.6.bundle.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	0	0	172.475962	0
162	emt0.7.0.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	2488	0	173.74332299999998	0
163	emt0.7.11.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	2431	0	174.995207	0
164	emt0.7.15.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1979	0	176.127745	0
165	emt0.7.16.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1911	0	177.12625899999998	0
166	emt0.7.17.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1808	0	178.26172	0
167	emt0.7.18.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1708	0	179.3177	0
168	emt0.7.19.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1592	0	180.469353	0
169	emt0.7.20.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1463	0	181.434125	0
170	emt0.7.21.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1412	0	182.40897800000002	0
171	emt0.7.1.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1355	0	183.416656	0
172	emt0.7.2.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1349	0	184.407209	0
173	emt0.7.3.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1339	0	185.36039599999998	0
174	emt0.7.4.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	962	0	186.387633	0
175	emt0.7.7.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	902	0	187.383701	0
176	emt0.7.5.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	883	0	188.429109	0
177	emt0.7.6.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	825	0	189.360335	0
178	emt0.7.8.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	812	0	190.300064	0
179	emt0.7.9.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	781	0	191.197145	0
180	emt0.7.12.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	630	0	192.058525	0
181	emt0.7.10.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	591	0	192.902975	0
182	emt0.7.13.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	388	0	193.80085499999998	0
183	emt0.7.14.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	353	0	194.671791	0
184	emt0.7.bundle.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	0	0	195.237626	0
185	emt0.8.0.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	2488	0	196.528557	0
186	emt0.8.11.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	2431	0	197.82345	0
187	emt0.8.15.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1979	0	199.05186799999998	0
188	emt0.8.16.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1911	0	200.24327599999998	0
189	emt0.8.17.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1808	0	201.391611	0
190	emt0.8.18.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1708	0	202.61553700000002	0
191	emt0.8.19.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1592	0	203.67573299999998	0
192	emt0.8.20.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1463	0	204.821966	0
193	emt0.8.21.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1412	0	205.914452	0
194	emt0.8.1.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1355	0	207.03524099999998	0
195	emt0.8.2.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1349	0	208.090061	0
196	emt0.8.3.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1339	0	209.14903299999997	0
197	emt0.8.4.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	962	0	210.134149	0
198	emt0.8.7.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	902	0	211.115881	0
199	emt0.8.5.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	883	0	212.10599	0
200	emt0.8.6.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	825	0	213.10768099999999	0
201	emt0.8.8.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	812	0	214.064877	0
202	emt0.8.9.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	781	0	215.08067499999999	0
203	emt0.8.12.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	630	0	215.994623	0
204	emt0.8.10.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	591	0	216.929355	0
205	emt0.8.13.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	388	0	217.661933	0
206	emt0.8.14.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	353	0	218.55524	0
207	emt0.8.bundle.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	0	0	219.106467	0
208	emt0.9.0.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	2488	0	220.40215999999998	0
